"sample_id","series","title","characteristics","day_estimate","condition"
"GSM3465547","GSE122380","19193_14","individual: 19193,time: differentiation day 14,cell type: differentiating iPSC-derived cardiomyocytes",14,"Embryonic"
"GSM3465548","GSE122380","19193_15","individual: 19193,time: differentiation day 15,cell type: differentiating iPSC-derived cardiomyocytes",15,"Embryonic"
"GSM3465549","GSE122380","19193_1","individual: 19193,time: differentiation day 1,cell type: differentiating iPSC-derived cardiomyocytes",1,"Embryonic"
"GSM3465550","GSE122380","19193_2","individual: 19193,time: differentiation day 2,cell type: differentiating iPSC-derived cardiomyocytes",2,"Embryonic"
"GSM3465551","GSE122380","19193_3","individual: 19193,time: differentiation day 3,cell type: differentiating iPSC-derived cardiomyocytes",3,"Embryonic"
"GSM3465552","GSE122380","19193_5","individual: 19193,time: differentiation day 5,cell type: differentiating iPSC-derived cardiomyocytes",5,"Embryonic"
"GSM3465553","GSE122380","19193_6","individual: 19193,time: differentiation day 6,cell type: differentiating iPSC-derived cardiomyocytes",6,"Embryonic"
"GSM3465554","GSE122380","19193_7","individual: 19193,time: differentiation day 7,cell type: differentiating iPSC-derived cardiomyocytes",7,"Embryonic"
"GSM3465555","GSE122380","19193_8","individual: 19193,time: differentiation day 8,cell type: differentiating iPSC-derived cardiomyocytes",8,"Embryonic"
"GSM3465556","GSE122380","19193_9","individual: 19193,time: differentiation day 9,cell type: differentiating iPSC-derived cardiomyocytes",9,"Embryonic"
"GSM3465557","GSE122380","19209_0","individual: 19209,time: differentiation day 0,cell type: iPSCs",0,"Embryonic"
"GSM3465558","GSE122380","19209_10","individual: 19209,time: differentiation day 10,cell type: differentiating iPSC-derived cardiomyocytes",10,"Embryonic"
"GSM3465559","GSE122380","19209_11","individual: 19209,time: differentiation day 11,cell type: differentiating iPSC-derived cardiomyocytes",11,"Embryonic"
"GSM3465560","GSE122380","19209_12","individual: 19209,time: differentiation day 12,cell type: differentiating iPSC-derived cardiomyocytes",12,"Embryonic"
"GSM3465561","GSE122380","19209_14","individual: 19209,time: differentiation day 14,cell type: differentiating iPSC-derived cardiomyocytes",14,"Embryonic"
"GSM3465562","GSE122380","19209_15","individual: 19209,time: differentiation day 15,cell type: differentiating iPSC-derived cardiomyocytes",15,"Embryonic"
"GSM3465563","GSE122380","19209_1","individual: 19209,time: differentiation day 1,cell type: differentiating iPSC-derived cardiomyocytes",1,"Embryonic"
"GSM3465564","GSE122380","19209_3","individual: 19209,time: differentiation day 3,cell type: differentiating iPSC-derived cardiomyocytes",3,"Embryonic"
"GSM3465565","GSE122380","19209_4","individual: 19209,time: differentiation day 4,cell type: differentiating iPSC-derived cardiomyocytes",4,"Embryonic"
"GSM3465566","GSE122380","19209_5","individual: 19209,time: differentiation day 5,cell type: differentiating iPSC-derived cardiomyocytes",5,"Embryonic"
"GSM3465567","GSE122380","19209_6","individual: 19209,time: differentiation day 6,cell type: differentiating iPSC-derived cardiomyocytes",6,"Embryonic"
"GSM3465568","GSE122380","19209_7","individual: 19209,time: differentiation day 7,cell type: differentiating iPSC-derived cardiomyocytes",7,"Embryonic"
"GSM3465569","GSE122380","19209_8","individual: 19209,time: differentiation day 8,cell type: differentiating iPSC-derived cardiomyocytes",8,"Embryonic"
"GSM3465570","GSE122380","19209_9","individual: 19209,time: differentiation day 9,cell type: differentiating iPSC-derived cardiomyocytes",9,"Embryonic"
"GSM4215858","GSE141910","C00039","etiology: Non-Failing Donor,Sex: Male,race: African American,age: 18",999,"Adult"
"GSM4215859","GSE141910","C00055","etiology: Non-Failing Donor,Sex: Male,race: African American,age: 26",999,"Adult"
"GSM4215860","GSE141910","C00074","etiology: Non-Failing Donor,Sex: Male,race: African American,age: 17",999,"Adult"
"GSM4215861","GSE141910","C00085","etiology: Non-Failing Donor,Sex: Female,race: African American,age: 59",999,"Adult"
"GSM4215862","GSE141910","C00105","etiology: Non-Failing Donor,Sex: Female,race: African American,age: 59",999,"Adult"
"GSM4215863","GSE141910","C00120","etiology: Non-Failing Donor,Sex: Male,race: Caucasian,age: 50",999,"Adult"
"GSM4215864","GSE141910","C00132","etiology: Non-Failing Donor,Sex: Male,race: African American,age: 15",999,"Adult"
